Date,Activity amount
1947,1
1960,10
1961,5
1962,1
1965,1
1966,1
1967,2
1968,1
1969,1
1970,2
1972,1
1973,1
1974,3
1975,1
1976,1
1978,9
1979,1
1980,2
1981,3
1982,4
1983,3
1984,4
1985,4
1986,5
1987,1
1990,15
1992,9
1993,8
1994,4
1995,8
1996,8
1997,13
1998,7
1999,12
2000,2
2001,6
2002,3
2003,6
2004,4
2005,8
2006,12
2007,10
2008,8
2009,8
2010,8
2011,5
2012,8
2013,7
2014,8
2015,11
2016,4
2017,3
2018,3
2019,6
