Activities,Author,Date,Gender
1,Ian Monk,2010,Male
3,Jacques Jouet,2010,Male
,,,
,,,
2,Marcel Bénabou,2010,Male
,,,
1,Michèle Audin,2010,Female
1,Hervé Le Tellier,2011,Male
1,Jacques Roubaud,2011,Male
1,Michèle Audin,2011,Female
1,Michelle Grangaud,2011,Female
1,Paul Fournel,2011,Male
1,Hugo Vernier,2012,Male
1,Jacques Roubaud,2012,Male
1,Marcel Bénabou,2012,Male
1,Michèle Audin,2012,Female
1,Olivier Salon,2012,Male
1,OuLiPo/Collaboration,2012,None
1,Paul Fournel,2012,Male
1,Étienne Lécroart,2012,Male
1,Bernard Cerquiglini,2013,Male
1,Daniel Levin Becker,2013,Male
1,Etienne Lécroart,2013,Male
1,Frédéric Forte,2013,Male
1,Michèle Audin,2013,Female
1,Olivier Salon,2013,Male
1,Paul Braffort,2013,Male
1,Eduardo Berti,2014,Male
2,Jacques Jouet,2014,Male
,,,
1,Michèle Audin,2014,Female
1,Olivier Salon,2014,Male
1,OuLiPo/Collaboration,2014,None
1,Eduardo Berti,2014,Male
1,Pablo Martín Sánchez,2014,Male
1,Eduardo Berti,2015,Male
1,Frédéric Forte,2015,Male
1,Ian Monk,2015,Male
1,Jacques Jouet,2015,Male
1,Jacques Roubaud,2015,Male
1,Marcel Bénabou,2015,Male
1,Olivier Salon,2015,Male
2,OuLiPo/Collaboration,2015,None
,,,
2,Valérie Beaudouin,2015,Female
,,,
1,Jacques Roubaud,2016,Male
,,,
1,Olivier Salon,2016,Male
1,OuLiPo/Collaboration,2016,None
1,Eduardo Berti,2017,Male
1,Frédéric Forte,2017,Male
1,Clémentine Mélois,2017,Female
2,Olivier Salon,2018,Male
,,,
1,Paul Fournel,2018,Male
1,Eduardo Berti,2019,Male
1,Frédéric Forte,2019,Male
2,OuLiPo/Collaboration,2019,None
,,,
1,Paul Fournel,2019,Male
1,Pierre Rosenstiehl,2019,Male
